,Unnamed: 0,Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
50,50,1,56,2010-02-05,2567.36,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
51,51,1,58,2010-02-05,7659.97,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
52,52,1,59,2010-02-05,1409.34,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
53,53,1,60,2010-02-05,1416.8,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
54,54,1,67,2010-02-05,8414.14,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
55,55,1,71,2010-02-05,5421.14,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
56,56,1,72,2010-02-05,98499.12,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
57,57,1,74,2010-02-05,12251.94,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
58,58,1,79,2010-02-05,46729.77,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
59,59,1,80,2010-02-05,15694.17,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
60,60,1,81,2010-02-05,30052.75,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
61,61,1,82,2010-02-05,19484.03,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
62,62,1,83,2010-02-05,5711.19,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
63,63,1,85,2010-02-05,3825.78,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
64,64,1,87,2010-02-05,35972.49,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
65,65,1,90,2010-02-05,76419.47,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
66,66,1,91,2010-02-05,62424.14,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
67,67,1,92,2010-02-05,139884.94,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
68,68,1,93,2010-02-05,64494.87,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
69,69,1,94,2010-02-05,56655.39,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
70,70,1,95,2010-02-05,106690.06,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
71,71,1,97,2010-02-05,32153.04,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
72,72,1,98,2010-02-05,10891.37,False,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,False,False,False,False,5,2,2010
73,73,1,1,2010-02-12,46039.49,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
74,74,1,2,2010-02-12,44682.74,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
75,75,1,3,2010-02-12,10887.84,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
76,76,1,4,2010-02-12,35351.21,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
77,77,1,5,2010-02-12,29620.81,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
78,78,1,6,2010-02-12,9135.0,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
79,79,1,7,2010-02-12,18310.31,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
80,80,1,8,2010-02-12,37334.83,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
81,81,1,9,2010-02-12,16562.49,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
82,82,1,10,2010-02-12,31494.77,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
83,83,1,11,2010-02-12,21760.75,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
84,84,1,12,2010-02-12,8654.07,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
85,85,1,13,2010-02-12,36476.4,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
86,86,1,14,2010-02-12,18129.02,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
87,87,1,16,2010-02-12,11873.89,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
88,88,1,17,2010-02-12,13403.66,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
89,89,1,18,2010-02-12,19006.5,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
90,90,1,19,2010-02-12,1490.79,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
91,91,1,20,2010-02-12,3697.7,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
92,92,1,21,2010-02-12,8735.83,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
93,93,1,22,2010-02-12,14807.95,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
94,94,1,23,2010-02-12,22812.41,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
95,95,1,24,2010-02-12,8050.24,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
96,96,1,25,2010-02-12,13268.75,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
97,97,1,26,2010-02-12,10050.92,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
98,98,1,27,2010-02-12,2339.5,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
99,99,1,28,2010-02-12,1008.36,True,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,True,False,False,False,6,2,2010
